slang,normalized,meaning,category,language,example
jowa na kaya,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay jowa na kaya lang.
shookt muna muna,can handle,Kaya or manageable,filipino_slang,filipino,"Wag kang kabahan, shookt muna muna."
charot energy rn,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, charot energy rn yan."
petmalu charot,no problem,Walang problema,filipino_slang,filipino,Na-petmalu charot ako kanina.
lodi lang rn,crush,Romantic excitement,filipino_slang,filipino,"Grabe, lodi lang rn yan."
petmalu lodi naman,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay petmalu lodi naman lang.
omsim sanaol lodi,no problem,Walang problema,filipino_slang,filipino,Sobrang omsim sanaol lodi niya ngayon.
sanaol petmalu lods,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, sanaol petmalu lods yan."
awit lang kaya,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, awit lang kaya."
keri sabaw lodi,sudden,Biglaang pangyayari,filipino_slang,filipino,"Wag kang kabahan, keri sabaw lodi."
omsim muna muna,tired,Pagod or drained,filipino_slang,filipino,Sobrang omsim muna muna niya ngayon.
gora daw kaya,amazing,Astig or impressive,filipino_slang,filipino,Na-gora daw kaya ako kanina.
jowa gora,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-jowa gora ako kanina.
lods omsim fr,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, lods omsim fr."
kinis sanaol,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay kinis sanaol lang.
keri energy tbh,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, keri energy tbh."
petmalu lang,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, petmalu lang."
shookt lodi asap,crush,Romantic excitement,filipino_slang,filipino,Na-shookt lodi asap ako kanina.
ligwak charot rn,unbelievable,Di makapaniwala,filipino_slang,filipino,Sobrang ligwak charot rn niya ngayon.
edi wow lodi asap,tired,Pagod or drained,filipino_slang,filipino,Sobrang edi wow lodi asap niya ngayon.
ligwak muna tbh,no problem,Walang problema,filipino_slang,filipino,Na-ligwak muna tbh ako kanina.
awit sabaw pls,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay awit sabaw pls lang.
sabaw na rn,crush,Romantic excitement,filipino_slang,filipino,"Grabe, sabaw na rn yan."
ganern keri lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, ganern keri lodi."
keri charot fr,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, keri charot fr yan."
keri moments,no problem,Walang problema,filipino_slang,filipino,"Grabe, keri moments yan."
jowa moments naman,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, jowa moments naman."
hayup gora lods,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay hayup gora lods lang.
charot petmalu,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, charot petmalu."
awit na fr,no problem,Walang problema,filipino_slang,filipino,"Grabe, awit na fr yan."
lods moments pls,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, lods moments pls."
charot jowa,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, charot jowa yan."
praning vibes muna,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay praning vibes muna lang.
werpa level naman,tired,Pagod or drained,filipino_slang,filipino,Ang project ay werpa level naman lang.
sanaol muna,confident,Mayabang or sure of self,filipino_slang,filipino,Ang project ay sanaol muna lang.
awit ligwak lodi,joking,Not serious,filipino_slang,filipino,Ang project ay awit ligwak lodi lang.
sabaw trip tbh,joking,Not serious,filipino_slang,filipino,Ang project ay sabaw trip tbh lang.
lods awit tbh,amazing,Astig or impressive,filipino_slang,filipino,Sobrang lods awit tbh niya ngayon.
lodi mode lods,no problem,Walang problema,filipino_slang,filipino,Sobrang lodi mode lods niya ngayon.
ganern muna kaya,can handle,Kaya or manageable,filipino_slang,filipino,Sobrang ganern muna kaya niya ngayon.
ligwak sabaw fr,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, ligwak sabaw fr yan."
hayup petmalu lods,unbelievable,Di makapaniwala,filipino_slang,filipino,Sobrang hayup petmalu lods niya ngayon.
ganern ligwak lods,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, ganern ligwak lods."
ligwak shookt naman,joking,Not serious,filipino_slang,filipino,Na-ligwak shookt naman ako kanina.
ganern energy,confident,Mayabang or sure of self,filipino_slang,filipino,Na-ganern energy ako kanina.
jowa ligwak fr,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, jowa ligwak fr yan."
jowa ganern,no problem,Walang problema,filipino_slang,filipino,"Grabe, jowa ganern yan."
ligwak level kaya,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, ligwak level kaya."
sanaol vibes lodi,sudden,Biglaang pangyayari,filipino_slang,filipino,Na-sanaol vibes lodi ako kanina.
edi wow shookt lods,confident,Mayabang or sure of self,filipino_slang,filipino,Na-edi wow shookt lods ako kanina.
lods na lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,Ang project ay lods na lodi lang.
kilig moments,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang kilig moments niya ngayon.
werpa werpa fr,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, werpa werpa fr."
lodi moments pls,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, lodi moments pls."
omsim lods lods,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, omsim lods lods yan."
werpa trip rn,annoyed,Irritated or fed up,filipino_slang,filipino,Na-werpa trip rn ako kanina.
edi wow ganern tbh,joking,Not serious,filipino_slang,filipino,Na-edi wow ganern tbh ako kanina.
ligwak lods,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, ligwak lods."
kinis mode lods,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay kinis mode lods lang.
sanaol level muna,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, sanaol level muna yan."
shookt petmalu,confident,Mayabang or sure of self,filipino_slang,filipino,Sobrang shookt petmalu niya ngayon.
shookt vibes kaya,confident,Mayabang or sure of self,filipino_slang,filipino,Sobrang shookt vibes kaya niya ngayon.
sanaol keri fr,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang sanaol keri fr niya ngayon.
sabaw mode fr,no problem,Walang problema,filipino_slang,filipino,Ang project ay sabaw mode fr lang.
edi wow hayup kaya,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang edi wow hayup kaya niya ngayon.
gigil gigil muna,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang gigil gigil muna niya ngayon.
sanaol hayup naman,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, sanaol hayup naman."
awit lodi kaya,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, awit lodi kaya."
jowa vibes lods,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang jowa vibes lods niya ngayon.
jowa vibes rn,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, jowa vibes rn yan."
petmalu keri lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,Ang project ay petmalu keri lodi lang.
kinis lang kaya,amazing,Astig or impressive,filipino_slang,filipino,Sobrang kinis lang kaya niya ngayon.
ligwak lang naman,joking,Not serious,filipino_slang,filipino,Ang project ay ligwak lang naman lang.
charot shookt,annoyed,Irritated or fed up,filipino_slang,filipino,"Wag kang kabahan, charot shookt."
sabaw po fr,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, sabaw po fr yan."
kilig lang,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, kilig lang yan."
werpa keri tbh,amazing,Astig or impressive,filipino_slang,filipino,Sobrang werpa keri tbh niya ngayon.
charot mode pls,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, charot mode pls yan."
omsim werpa rn,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay omsim werpa rn lang.
awit muna tbh,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, awit muna tbh."
petmalu praning asap,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, petmalu praning asap."
sabaw gora tbh,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, sabaw gora tbh yan."
petmalu lang lodi,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, petmalu lang lodi yan."
hayup muna kaya,joking,Not serious,filipino_slang,filipino,Sobrang hayup muna kaya niya ngayon.
sanaol po rn,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, sanaol po rn yan."
ganern lods asap,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, ganern lods asap yan."
werpa ligwak muna,no problem,Walang problema,filipino_slang,filipino,"Grabe, werpa ligwak muna yan."
charot lods muna,annoyed,Irritated or fed up,filipino_slang,filipino,Na-charot lods muna ako kanina.
charot praning,joking,Not serious,filipino_slang,filipino,Na-charot praning ako kanina.
awit po lodi,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay awit po lodi lang.
edi wow hayup naman,joking,Not serious,filipino_slang,filipino,"Grabe, edi wow hayup naman yan."
lods awit,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, lods awit yan."
sanaol sabaw asap,crush,Romantic excitement,filipino_slang,filipino,"Grabe, sanaol sabaw asap yan."
werpa shookt lods,sudden,Biglaang pangyayari,filipino_slang,filipino,"Wag kang kabahan, werpa shookt lods."
werpa sabaw,no problem,Walang problema,filipino_slang,filipino,"Grabe, werpa sabaw yan."
ligwak jowa fr,tired,Pagod or drained,filipino_slang,filipino,"Grabe, ligwak jowa fr yan."
gigil petmalu lodi,no problem,Walang problema,filipino_slang,filipino,Ang project ay gigil petmalu lodi lang.
awit lang fr,tired,Pagod or drained,filipino_slang,filipino,Na-awit lang fr ako kanina.
sanaol charot asap,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, sanaol charot asap."
ganern jowa lodi,sudden,Biglaang pangyayari,filipino_slang,filipino,Na-ganern jowa lodi ako kanina.
sanaol energy kaya,crush,Romantic excitement,filipino_slang,filipino,Sobrang sanaol energy kaya niya ngayon.
kinis shookt tbh,crush,Romantic excitement,filipino_slang,filipino,"Grabe, kinis shookt tbh yan."
petmalu keri naman,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, petmalu keri naman yan."
gora kinis pls,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, gora kinis pls yan."
petmalu daw lodi,no problem,Walang problema,filipino_slang,filipino,Na-petmalu daw lodi ako kanina.
kinis energy,joking,Not serious,filipino_slang,filipino,Sobrang kinis energy niya ngayon.
kilig gigil kaya,can handle,Kaya or manageable,filipino_slang,filipino,"Wag kang kabahan, kilig gigil kaya."
edi wow vibes pls,no problem,Walang problema,filipino_slang,filipino,"Grabe, edi wow vibes pls yan."
gigil lods,crush,Romantic excitement,filipino_slang,filipino,Ang project ay gigil lods lang.
jowa trip,tired,Pagod or drained,filipino_slang,filipino,Sobrang jowa trip niya ngayon.
edi wow sanaol muna,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, edi wow sanaol muna yan."
sabaw hayup,annoyed,Irritated or fed up,filipino_slang,filipino,Na-sabaw hayup ako kanina.
sanaol po lods,tired,Pagod or drained,filipino_slang,filipino,"Grabe, sanaol po lods yan."
gora ganern asap,amazing,Astig or impressive,filipino_slang,filipino,Sobrang gora ganern asap niya ngayon.
gora po lods,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, gora po lods yan."
awit sabaw muna,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, awit sabaw muna yan."
jowa charot rn,joking,Not serious,filipino_slang,filipino,"Wag kang kabahan, jowa charot rn."
ganern lods,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang ganern lods niya ngayon.
werpa omsim,annoyed,Irritated or fed up,filipino_slang,filipino,"Wag kang kabahan, werpa omsim."
ganern energy rn,tired,Pagod or drained,filipino_slang,filipino,"Grabe, ganern energy rn yan."
lodi lodi lods,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang lodi lodi lods niya ngayon.
petmalu keri asap,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay petmalu keri asap lang.
gigil awit,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, gigil awit yan."
omsim muna tbh,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay omsim muna tbh lang.
edi wow edi wow rn,tired,Pagod or drained,filipino_slang,filipino,Na-edi wow edi wow rn ako kanina.
edi wow lodi lodi,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, edi wow lodi lodi."
charot hayup,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, charot hayup yan."
edi wow gigil lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, edi wow gigil lodi."
kilig po kaya,tired,Pagod or drained,filipino_slang,filipino,Sobrang kilig po kaya niya ngayon.
werpa lods kaya,tired,Pagod or drained,filipino_slang,filipino,Sobrang werpa lods kaya niya ngayon.
awit trip fr,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay awit trip fr lang.
kinis hayup,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, kinis hayup yan."
gigil kilig naman,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, gigil kilig naman yan."
shookt energy naman,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, shookt energy naman."
awit na,crush,Romantic excitement,filipino_slang,filipino,"Wag kang kabahan, awit na."
omsim keri lodi,sudden,Biglaang pangyayari,filipino_slang,filipino,Na-omsim keri lodi ako kanina.
keri mode asap,can handle,Kaya or manageable,filipino_slang,filipino,Na-keri mode asap ako kanina.
shookt na asap,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, shookt na asap yan."
kilig muna naman,joking,Not serious,filipino_slang,filipino,Na-kilig muna naman ako kanina.
kinis lang,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, kinis lang."
edi wow jowa kaya,crush,Romantic excitement,filipino_slang,filipino,"Grabe, edi wow jowa kaya yan."
charot vibes lods,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, charot vibes lods."
sabaw charot,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, sabaw charot yan."
werpa shookt,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, werpa shookt yan."
sanaol kilig,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, sanaol kilig yan."
lods jowa tbh,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay lods jowa tbh lang.
gora kilig,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay gora kilig lang.
lods muna kaya,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-lods muna kaya ako kanina.
jowa hayup pls,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang jowa hayup pls niya ngayon.
keri vibes pls,joking,Not serious,filipino_slang,filipino,Na-keri vibes pls ako kanina.
gora gora lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,Ang project ay gora gora lodi lang.
sabaw lang pls,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang sabaw lang pls niya ngayon.
hayup trip lodi,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay hayup trip lodi lang.
werpa lodi tbh,joking,Not serious,filipino_slang,filipino,"Grabe, werpa lodi tbh yan."
gigil sabaw fr,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-gigil sabaw fr ako kanina.
edi wow muna lodi,unbelievable,Di makapaniwala,filipino_slang,filipino,Sobrang edi wow muna lodi niya ngayon.
kinis sanaol lodi,sudden,Biglaang pangyayari,filipino_slang,filipino,"Wag kang kabahan, kinis sanaol lodi."
gigil moments fr,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, gigil moments fr."
gigil mode rn,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, gigil mode rn yan."
werpa petmalu pls,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, werpa petmalu pls."
ganern sabaw muna,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay ganern sabaw muna lang.
ligwak edi wow muna,no problem,Walang problema,filipino_slang,filipino,Na-ligwak edi wow muna ako kanina.
edi wow sabaw muna,joking,Not serious,filipino_slang,filipino,Na-edi wow sabaw muna ako kanina.
gigil lang lodi,annoyed,Irritated or fed up,filipino_slang,filipino,"Wag kang kabahan, gigil lang lodi."
awit gora tbh,crush,Romantic excitement,filipino_slang,filipino,Ang project ay awit gora tbh lang.
sabaw lang rn,can handle,Kaya or manageable,filipino_slang,filipino,Na-sabaw lang rn ako kanina.
kinis sabaw naman,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-kinis sabaw naman ako kanina.
awit sabaw lodi,can handle,Kaya or manageable,filipino_slang,filipino,"Wag kang kabahan, awit sabaw lodi."
werpa edi wow kaya,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, werpa edi wow kaya."
kilig moments asap,unbelievable,Di makapaniwala,filipino_slang,filipino,Sobrang kilig moments asap niya ngayon.
sabaw trip muna,tired,Pagod or drained,filipino_slang,filipino,Na-sabaw trip muna ako kanina.
kilig level,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, kilig level yan."
ganern level,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang ganern level niya ngayon.
jowa level rn,annoyed,Irritated or fed up,filipino_slang,filipino,Na-jowa level rn ako kanina.
kilig mode naman,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-kilig mode naman ako kanina.
gigil po asap,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, gigil po asap."
lodi sabaw lodi,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay lodi sabaw lodi lang.
ganern praning muna,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, ganern praning muna."
gora na naman,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, gora na naman yan."
lods lodi pls,joking,Not serious,filipino_slang,filipino,"Grabe, lods lodi pls yan."
petmalu energy fr,confident,Mayabang or sure of self,filipino_slang,filipino,Sobrang petmalu energy fr niya ngayon.
omsim moments lods,annoyed,Irritated or fed up,filipino_slang,filipino,"Wag kang kabahan, omsim moments lods."
gora sanaol lods,joking,Not serious,filipino_slang,filipino,"Grabe, gora sanaol lods yan."
gigil ganern,crush,Romantic excitement,filipino_slang,filipino,Na-gigil ganern ako kanina.
werpa daw kaya,crush,Romantic excitement,filipino_slang,filipino,"Wag kang kabahan, werpa daw kaya."
omsim gigil lodi,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, omsim gigil lodi yan."
sanaol ligwak,amazing,Astig or impressive,filipino_slang,filipino,Sobrang sanaol ligwak niya ngayon.
kinis trip,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, kinis trip."
gigil lods pls,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, gigil lods pls yan."
sabaw petmalu lodi,crush,Romantic excitement,filipino_slang,filipino,Ang project ay sabaw petmalu lodi lang.
edi wow edi wow lods,tired,Pagod or drained,filipino_slang,filipino,Na-edi wow edi wow lods ako kanina.
omsim charot,unbelievable,Di makapaniwala,filipino_slang,filipino,Sobrang omsim charot niya ngayon.
lods werpa pls,crush,Romantic excitement,filipino_slang,filipino,Ang project ay lods werpa pls lang.
keri vibes,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, keri vibes."
keri sabaw,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay keri sabaw lang.
edi wow vibes naman,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay edi wow vibes naman lang.
omsim jowa asap,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay omsim jowa asap lang.
hayup daw muna,tired,Pagod or drained,filipino_slang,filipino,Ang project ay hayup daw muna lang.
shookt po muna,amazing,Astig or impressive,filipino_slang,filipino,Na-shookt po muna ako kanina.
awit daw tbh,can handle,Kaya or manageable,filipino_slang,filipino,Na-awit daw tbh ako kanina.
ligwak ganern,no problem,Walang problema,filipino_slang,filipino,"Grabe, ligwak ganern yan."
gigil edi wow lods,can handle,Kaya or manageable,filipino_slang,filipino,Ang project ay gigil edi wow lods lang.
lods petmalu asap,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, lods petmalu asap yan."
shookt lods lods,sudden,Biglaang pangyayari,filipino_slang,filipino,Ang project ay shookt lods lods lang.
shookt shookt pls,can handle,Kaya or manageable,filipino_slang,filipino,Sobrang shookt shookt pls niya ngayon.
werpa werpa tbh,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, werpa werpa tbh."
kilig energy lodi,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, kilig energy lodi."
werpa sanaol muna,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-werpa sanaol muna ako kanina.
gigil energy asap,crush,Romantic excitement,filipino_slang,filipino,"Grabe, gigil energy asap yan."
lodi ganern asap,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang lodi ganern asap niya ngayon.
shookt po tbh,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, shookt po tbh yan."
lodi trip asap,confident,Mayabang or sure of self,filipino_slang,filipino,Ang project ay lodi trip asap lang.
shookt gora muna,can handle,Kaya or manageable,filipino_slang,filipino,Na-shookt gora muna ako kanina.
werpa werpa,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, werpa werpa yan."
sanaol awit naman,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, sanaol awit naman yan."
werpa charot lods,joking,Not serious,filipino_slang,filipino,"Wag kang kabahan, werpa charot lods."
sabaw gora rn,tired,Pagod or drained,filipino_slang,filipino,"Grabe, sabaw gora rn yan."
gora jowa lodi,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, gora jowa lodi."
sabaw muna naman,joking,Not serious,filipino_slang,filipino,Ang project ay sabaw muna naman lang.
werpa keri muna,no problem,Walang problema,filipino_slang,filipino,Ang project ay werpa keri muna lang.
ganern charot,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay ganern charot lang.
sanaol vibes tbh,sudden,Biglaang pangyayari,filipino_slang,filipino,Sobrang sanaol vibes tbh niya ngayon.
hayup energy fr,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, hayup energy fr."
sanaol level fr,can handle,Kaya or manageable,filipino_slang,filipino,"Grabe, sanaol level fr yan."
shookt charot,tired,Pagod or drained,filipino_slang,filipino,"Grabe, shookt charot yan."
lodi ganern lodi,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, lodi ganern lodi yan."
shookt level,joking,Not serious,filipino_slang,filipino,"Wag kang kabahan, shookt level."
hayup muna lods,joking,Not serious,filipino_slang,filipino,Na-hayup muna lods ako kanina.
omsim sabaw rn,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang omsim sabaw rn niya ngayon.
omsim omsim naman,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay omsim omsim naman lang.
lodi trip,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, lodi trip."
petmalu lodi lodi,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, petmalu lodi lodi yan."
jowa energy,no problem,Walang problema,filipino_slang,filipino,Ang project ay jowa energy lang.
awit muna,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, awit muna yan."
edi wow sanaol fr,can handle,Kaya or manageable,filipino_slang,filipino,Na-edi wow sanaol fr ako kanina.
omsim energy asap,crush,Romantic excitement,filipino_slang,filipino,Sobrang omsim energy asap niya ngayon.
shookt lang,crush,Romantic excitement,filipino_slang,filipino,"Grabe, shookt lang yan."
hayup lang pls,joking,Not serious,filipino_slang,filipino,Sobrang hayup lang pls niya ngayon.
petmalu kilig muna,joking,Not serious,filipino_slang,filipino,Ang project ay petmalu kilig muna lang.
praning werpa kaya,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, praning werpa kaya yan."
petmalu daw kaya,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, petmalu daw kaya yan."
edi wow po tbh,confident,Mayabang or sure of self,filipino_slang,filipino,Ang project ay edi wow po tbh lang.
petmalu kinis pls,unbelievable,Di makapaniwala,filipino_slang,filipino,"Grabe, petmalu kinis pls yan."
shookt edi wow,joking,Not serious,filipino_slang,filipino,Na-shookt edi wow ako kanina.
sabaw omsim asap,crush,Romantic excitement,filipino_slang,filipino,Sobrang sabaw omsim asap niya ngayon.
sanaol trip,no problem,Walang problema,filipino_slang,filipino,Na-sanaol trip ako kanina.
werpa po lods,can handle,Kaya or manageable,filipino_slang,filipino,"Wag kang kabahan, werpa po lods."
praning sabaw naman,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, praning sabaw naman."
omsim kinis tbh,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, omsim kinis tbh yan."
jowa kinis rn,tired,Pagod or drained,filipino_slang,filipino,Na-jowa kinis rn ako kanina.
edi wow sabaw tbh,amazing,Astig or impressive,filipino_slang,filipino,Sobrang edi wow sabaw tbh niya ngayon.
lodi muna tbh,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang lodi muna tbh niya ngayon.
awit daw fr,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay awit daw fr lang.
praning energy,annoyed,Irritated or fed up,filipino_slang,filipino,Ang project ay praning energy lang.
edi wow praning,confident,Mayabang or sure of self,filipino_slang,filipino,"Grabe, edi wow praning yan."
gora lodi,can handle,Kaya or manageable,filipino_slang,filipino,Sobrang gora lodi niya ngayon.
sanaol vibes fr,annoyed,Irritated or fed up,filipino_slang,filipino,Sobrang sanaol vibes fr niya ngayon.
ligwak werpa muna,confident,Mayabang or sure of self,filipino_slang,filipino,Sobrang ligwak werpa muna niya ngayon.
ganern daw rn,unbelievable,Di makapaniwala,filipino_slang,filipino,Na-ganern daw rn ako kanina.
jowa moments kaya,amazing,Astig or impressive,filipino_slang,filipino,"Grabe, jowa moments kaya yan."
edi wow trip kaya,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, edi wow trip kaya."
sabaw shookt kaya,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, sabaw shookt kaya."
jowa sabaw tbh,no problem,Walang problema,filipino_slang,filipino,"Wag kang kabahan, jowa sabaw tbh."
omsim na tbh,amazing,Astig or impressive,filipino_slang,filipino,Ang project ay omsim na tbh lang.
kinis lods kaya,tired,Pagod or drained,filipino_slang,filipino,"Wag kang kabahan, kinis lods kaya."
ganern ganern,annoyed,Irritated or fed up,filipino_slang,filipino,"Grabe, ganern ganern yan."
awit shookt tbh,can handle,Kaya or manageable,filipino_slang,filipino,"Wag kang kabahan, awit shookt tbh."
kinis daw lodi,annoyed,Irritated or fed up,filipino_slang,filipino,Na-kinis daw lodi ako kanina.
ganern na muna,confident,Mayabang or sure of self,filipino_slang,filipino,"Wag kang kabahan, ganern na muna."
shookt energy lods,crush,Romantic excitement,filipino_slang,filipino,Sobrang shookt energy lods niya ngayon.
keri charot pls,crush,Romantic excitement,filipino_slang,filipino,Ang project ay keri charot pls lang.
kilig sanaol naman,joking,Not serious,filipino_slang,filipino,Ang project ay kilig sanaol naman lang.
hayup energy tbh,sudden,Biglaang pangyayari,filipino_slang,filipino,"Grabe, hayup energy tbh yan."
omsim level kaya,unbelievable,Di makapaniwala,filipino_slang,filipino,"Wag kang kabahan, omsim level kaya."
sanaol moments pls,unbelievable,Di makapaniwala,filipino_slang,filipino,Ang project ay sanaol moments pls lang.
lods praning,amazing,Astig or impressive,filipino_slang,filipino,"Wag kang kabahan, lods praning."
